week,new_cases,total_cases,population,incidence_weekly,incidence_total,week_str,weekly_vaccinations,weekly_deaths,date,weekly_cases_per_100k,weekly_deaths_per_100k,weekly_vacc_per_100k,death_rate,cases_smooth,vacc_smooth,deaths_smooth
202009,57,57,8738791,0.65,0.65,202009,0,0,2020-02-24,0.6522641404285787,0.0,0.0,0.0,,,
202010,377,434,8738791,4.31,4.97,202010,0,3,2020-03-02,4.314097911255688,0.03432969160150415,0.0,0.007957559681697613,,,
202011,2265,2699,8738791,25.92,30.89,202011,0,25,2020-03-09,25.91891715913563,0.28608076334586785,0.0,0.011037527593818985,899.6666666666666,0.0,9.333333333333334
202012,6558,9257,8738791,75.04,105.93,202012,0,99,2020-03-16,75.04470584088806,1.1328798228496366,0.0,0.015096065873741994,3066.6666666666665,0.0,42.333333333333336
202013,7345,16602,8738791,84.05,189.98,202013,0,253,2020-03-23,84.05052827101598,2.895137325060183,0.0,0.03444520081688223,5389.333333333333,0.0,125.66666666666667
202014,6024,22626,8738791,68.93,258.91,202014,0,385,2020-03-30,68.93402073582031,4.4056437555263654,0.0,0.06391102257636122,6642.333333333333,0.0,245.66666666666666
202015,3600,26226,8738791,41.2,300.11,202015,0,343,2020-04-06,41.19562992180497,3.9250280731053073,0.0,0.09527777777777778,5656.333333333333,0.0,327.0
202016,1837,28063,8738791,21.02,321.13,202016,0,242,2020-04-13,21.02121449065437,2.769261789188001,0.0,0.1317365269461078,3820.3333333333335,0.0,323.3333333333333
202017,1167,29230,8738791,13.35,334.49,202017,0,194,2020-04-20,13.354250032985112,2.2199867235639346,0.0,0.1662382176520994,2201.3333333333335,0.0,259.6666666666667
202018,700,29930,8738791,8.01,342.5,202018,0,90,2020-04-27,8.010261373684301,1.0298907480451243,0.0,0.12857142857142856,1234.6666666666667,0.0,175.33333333333334
202019,400,30330,8738791,4.58,347.07,202019,0,54,2020-05-04,4.577292213533886,0.6179344488270746,0.0,0.135,755.6666666666666,0.0,112.66666666666667
202020,231,30561,8738791,2.64,349.72,202020,0,18,2020-05-11,2.643386253315819,0.20597814960902489,0.0,0.07792207792207792,443.6666666666667,0.0,54.0
202021,153,30714,8738791,1.75,351.47,202021,0,14,2020-05-18,1.7508142716767114,0.16020522747368598,0.0,0.0915032679738562,261.3333333333333,0.0,28.666666666666668
202022,126,30840,8738791,1.44,352.91,202022,0,4,2020-05-25,1.4418470472631741,0.04577292213533886,0.0,0.031746031746031744,170.0,0.0,12.0
202023,98,30938,8738791,1.12,354.03,202023,0,1,2020-06-01,1.121436592315802,0.011443230533834715,0.0,0.01020408163265306,125.66666666666667,0.0,6.333333333333333
202024,140,31078,8738791,1.6,355.63,202024,0,4,2020-06-08,1.6020522747368602,0.04577292213533886,0.0,0.02857142857142857,121.33333333333333,0.0,3.0
202025,171,31249,8738791,1.96,357.59,202025,0,2,2020-06-15,1.9567924212857362,0.02288646106766943,0.0,0.011695906432748537,136.33333333333334,0.0,2.3333333333333335
202026,359,31608,8738791,4.11,361.7,202026,0,1,2020-06-22,4.1081197616466625,0.011443230533834715,0.0,0.002785515320334262,223.33333333333334,0.0,2.3333333333333335
202027,682,32290,8738791,7.8,369.5,202027,0,2,2020-06-29,7.804283224075275,0.02288646106766943,0.0,0.002932551319648094,404.0,0.0,1.6666666666666667
202028,636,32926,8738791,7.28,376.78,202028,0,3,2020-07-06,7.277894619518879,0.03432969160150415,0.0,0.0047169811320754715,559.0,0.0,2.0
202029,715,33641,8738791,8.18,384.96,202029,0,4,2020-07-13,8.181909831691822,0.04577292213533886,0.0,0.005594405594405594,677.6666666666666,0.0,3.0
202030,824,34465,8738791,9.43,394.39,202030,0,5,2020-07-20,9.429221959879804,0.05721615266917357,0.0,0.006067961165048544,725.0,0.0,4.0
202031,1155,35620,8738791,13.22,407.61,202031,0,5,2020-07-27,13.216931266579095,0.05721615266917357,0.0,0.004329004329004329,898.0,0.0,4.666666666666667
202032,1100,36720,8738791,12.59,420.2,202032,0,5,2020-08-03,12.587553587218187,0.05721615266917357,0.0,0.004545454545454545,1026.3333333333333,0.0,5.0
202033,1574,38294,8738791,18.01,438.21,202033,0,5,2020-08-10,18.011644860255842,0.05721615266917357,0.0,0.0031766200762388818,1276.3333333333333,0.0,5.0
202034,1855,40149,8738791,21.23,459.43,202034,0,5,2020-08-17,21.227192640263397,0.05721615266917357,0.0,0.0026954177897574125,1509.6666666666667,0.0,5.0
202035,2092,42241,8738791,23.94,483.37,202035,0,4,2020-08-24,23.939238276782223,0.04577292213533886,0.0,0.0019120458891013384,1840.3333333333333,0.0,4.666666666666667
202036,2458,44699,8738791,28.13,511.5,202036,0,13,2020-08-31,28.12746065216573,0.1487619969398513,0.0,0.0052888527257933275,2135.0,0.0,7.333333333333333
202037,2860,47559,8738791,32.73,544.23,202037,0,18,2020-09-07,32.72763932676729,0.20597814960902489,0.0,0.006293706293706294,2470.0,0.0,11.666666666666666
202038,2905,50464,8738791,33.24,577.47,202038,0,15,2020-09-14,33.24258470078985,0.1716484580075207,0.0,0.0051635111876075735,2741.0,0.0,15.333333333333334
202039,2221,52685,8738791,25.42,602.89,202039,0,13,2020-09-21,25.4154150156469,0.1487619969398513,0.0,0.00585321927059883,2662.0,0.0,15.333333333333334
202040,3461,56146,8738791,39.61,642.49,202040,0,11,2020-09-28,39.605020877601945,0.12587553587218187,0.0,0.003178272175671771,2862.3333333333335,0.0,13.0
202041,8753,64899,8738791,100.16,742.65,202041,0,19,2020-10-05,100.16259686265526,0.2174213801428596,0.0,0.002170684336798812,4811.666666666667,0.0,14.333333333333334
202042,19481,84380,8738791,222.93,965.58,202042,0,49,2020-10-12,222.92557402963405,0.560718296157901,0.0,0.0025152712899748474,10565.0,0.0,26.333333333333332
202043,39678,124058,8738791,454.04,1419.62,202043,0,145,2020-10-19,454.04450112149385,1.6592684274060336,0.0,0.003654418065426685,22637.333333333332,0.0,71.0
202044,55821,179879,8738791,638.77,2058.4,202044,0,327,2020-10-26,638.7725716291876,3.7419363845639517,0.0,0.0058580104261836945,38326.666666666664,0.0,173.66666666666666
202045,51194,231073,8738791,585.82,2644.22,202045,0,559,2020-11-02,585.8247439491344,6.396765868413605,0.0,0.010919248349415947,48897.666666666664,0.0,343.6666666666667
202046,39590,270663,8738791,453.04,3097.26,202046,0,631,2020-11-09,453.0374968345164,7.220678466849705,0.0,0.015938368274816872,48868.333333333336,0.0,505.6666666666667
202047,30112,300775,8738791,344.58,3441.84,202047,0,632,2020-11-16,344.5785578348309,7.23212169738354,0.0,0.020988310308182784,40298.666666666664,0.0,607.3333333333334
202048,26177,326952,8738791,299.55,3741.39,202048,0,623,2020-11-23,299.5494456841913,7.129132622579027,0.0,0.02379951866142033,31959.666666666668,0.0,628.6666666666666
202049,27276,354228,8738791,312.13,4053.51,202049,0,605,2020-11-30,312.12555604087567,6.923154472970003,0.0,0.022180671652735004,27855.0,0.0,620.0
202050,30000,384228,8738791,343.3,4396.81,202050,0,607,2020-12-07,343.2969160150414,6.946040934037671,0.0,0.020233333333333332,27817.666666666668,0.0,611.6666666666666
202051,29258,413486,8738791,334.81,4731.62,202051,0,644,2020-12-14,334.8060389589361,7.369440463789557,0.0,0.022011073894319503,28844.666666666668,0.0,618.6666666666666
202052,23946,437432,8738791,274.02,5005.64,202052,0,593,2020-12-21,274.01959836320606,6.785835706563986,0.0,0.02476405245134887,27734.666666666668,0.0,614.6666666666666
202053,23398,460830,8738791,267.75,5273.38,202053,48,549,2020-12-28,267.74870803066466,6.282333563075258,0.5492750656240664,0.023463543892640396,25534.0,16.0,595.3333333333334
202101,22033,482863,8738791,252.13,5525.51,202101,244,419,2021-01-04,252.12869835198026,4.794713593676745,2.7921482502556705,0.019016929151726956,23125.666666666668,97.33333333333333,520.3333333333334
202102,15197,498060,8738791,173.9,5699.42,202102,1170,376,2021-01-11,173.90277442268615,4.302654680721853,13.388579724586615,0.024741725340527737,20209.333333333332,487.3333333333333,448.0
202103,13485,511545,8738791,154.31,5853.73,202103,14420,332,2021-01-18,154.31196374876112,3.7991525372331254,165.0113842978966,0.024619948090470894,16905.0,5278.0,375.6666666666667
202104,11516,523061,8738791,131.78,5985.51,202104,50304,242,2021-01-25,131.78024282764056,2.769261789188001,575.6402687740215,0.021014241055922197,13399.333333333334,21964.666666666668,316.6666666666667
202105,10057,533118,8738791,115.08,6100.59,202105,125548,165,2021-02-01,115.08456947877572,1.8881330380827281,1436.6747070618808,0.016406483046634186,11686.0,63424.0,246.33333333333334
202106,7864,540982,8738791,89.99,6190.58,202106,222400,129,2021-02-08,89.9895649180762,1.476176738864678,2544.9744707248406,0.016403865717192267,9812.333333333334,132750.66666666666,178.66666666666666
202107,6979,547961,8738791,79.86,6270.44,202107,287122,86,2021-02-15,79.86230589563247,0.9841178259097855,3285.6032373356907,0.012322682332712423,8300.0,211690.0,126.66666666666667
202108,7210,555171,8738791,82.51,6352.95,202108,357411,63,2021-02-22,82.5056921489483,0.7209235236315871,4089.9364683283993,0.008737864077669903,7351.0,288977.6666666667,92.66666666666667
202109,7581,562752,8738791,86.75,6439.7,202109,304210,64,2021-03-01,86.75113067700097,0.7323667541654217,3481.1451606978585,0.00844215802664556,7256.666666666667,316247.6666666667,71.0
202110,8783,571535,8738791,100.51,6540.21,202110,247351,75,2021-03-08,100.5058937786703,0.8582422900376036,2830.4945157745506,0.008539223499943072,7858.0,302990.6666666667,67.33333333333333
202111,10494,582029,8738791,120.09,6660.29,202111,290405,62,2021-03-15,120.0852612220615,0.7094802930977523,3323.1713631782704,0.0059081379836096815,8952.666666666666,280655.3333333333,67.0
202112,12530,594559,8738791,143.38,6803.68,202112,276806,60,2021-03-22,143.38367858894898,0.6865938320300828,3167.554871148652,0.004788507581803671,10602.333333333334,271520.6666666667,65.66666666666667
